ID,Name,Street,City,State,Zip,Address,latitude,longitude
57,All Checks Cashed 6,495 Moreland Avenue Southeast,Atlanta,GA,30316,"495 Moreland Avenue Southeast,Atlanta,GA,30316 ",33.7406191,-84.3496675
58,Alliance Business Leasing,2879 North Druid Hills Road Northeast,Atlanta,GA,30329,"2879 North Druid Hills Road Northeast,Atlanta,GA,30329 ",33.8166344,-84.3111576
59,Alliance Merchant Services,Atlanta,Atlanta,GA,30303,"Atlanta,Atlanta,GA,30303 ",33.755711,-84.3883717
60,American Check Cashing,12 Peachtree Street Northwest,Atlanta,GA,30303,"12 Peachtree Street Northwest,Atlanta,GA,30303 ",33.7536678,-84.3903326
61,American Check Cashing,906 Cleveland Avenue,Atlanta,GA,30344,"906 Cleveland Avenue,Atlanta,GA,30344 ",33.6811367,-84.4189623
62,American Check Cashing Inc,906 Cleveland Ave,Atlanta,GA,30344,"906 Cleveland Ave,Atlanta,GA,30344 ",33.6811367,-84.4189623
63,American Check Cashing Inc,801 James Jackson Parkway Nortrhwest,Atlanta,GA,30318,"801 James Jackson Parkway Nortrhwest,Atlanta,GA,30318 ",33.7767133,-84.4735012
64,Atlanta Authorized Paymaster Sales & Service,1075 Robin Lane Northeast,Atlanta,GA,30306,"1075 Robin Lane Northeast,Atlanta,GA,30306 ",33.8044158,-84.3525249
65,Atlanta Cash It Here Inc,2100 Campbellton Rd Sw,Atlanta,GA,30311,"2100 Campbellton Rd Sw,Atlanta,GA,30311 ",33.7064186,-84.4568946
66,Atlanta Check Cashers,215 Northwood Drive Northeast,Atlanta,GA,30342,"215 Northwood Drive Northeast,Atlanta,GA,30342 ",33.9105915,-84.3798845
67,ATLANTA CHECK CASHERS,215 Northwood Dr Ne,Atlanta,GA,30342,"215 Northwood Dr Ne,Atlanta,GA,30342 ",33.9105915,-84.3798845
68,Atlanta Check Cashers Inc,2435 Martin Luther Dr,Atlanta,GA,30311,"2435 Martin Luther Dr,Atlanta,GA,30311 ",33.7518295,-84.4672214
69,Atlanta Check Cashers Inc,3123 Main St,Atlanta,GA,30344,"3123 Main St,Atlanta,GA,30344 ",33.6702066,-84.4437899
70,Atlanta Check Cashers Inc,6135 Roswell Rd Ne,Atlanta,GA,30328,"6135 Roswell Rd Ne,Atlanta,GA,30328 ",33.9226444,-84.3788669
71,Atlanta Check Cashers Inc,20 Forsyth St Nw,Atlanta,GA,30303,"20 Forsyth St Nw,Atlanta,GA,30303 ",33.7552233,-84.3915072
72,Atlanta Check Cashers Inc,4905 Buford Hwy,Atlanta,GA,30341,"4905 Buford Hwy,Atlanta,GA,30341 ",33.885316,-84.288014
73,ATLANTA CHECK CASHERS INC,2435 Martin Luther King Jr Dr,Atlanta,GA,30311,"2435 Martin Luther King Jr Dr,Atlanta,GA,30311 ",33.7518295,-84.4672214
74,Best Rates Check Cashing,4881 Old National Hwy,Atlanta,GA,30337,"4881 Old National Hwy,Atlanta,GA,30337 ",33.6221492,-84.4747648
75,Budgetime Cash Advance,400 Galleria Pkwy Se,Atlanta,GA,30339,"400 Galleria Pkwy Se,Atlanta,GA,30339 ",33.8865683,-84.461344
76,Business Center Etc,Po Box 44372,Atlanta,GA,30336,"Po Box 44372,Atlanta,GA,30336 ",33.7489465,-84.5484275
77,Business Center Etc,3480 Greenbriar Parkway Southwest,Atlanta,GA,30331,"3480 Greenbriar Parkway Southwest,Atlanta,GA,30331 ",33.6828859,-84.5026391
