id,name,street,city,state,zip
123,Lakewood Check Cashing,1959 Lakewood Ave Se,Atlanta,GA,30315
124,Latino Services,1799 Lakewood Ter Se,Atlanta,GA,30315
125,M & G Check Cashing,1292 Donnelly Ave Sw,Atlanta,GA,30310
126,Magic Check Cashing,5195 Old National Hwy,Atlanta,GA,30349
127,Merchant Data Services Inc,3300 Buckeye Road Suite 700,Atlanta,GA,30341
128,Merchant Services,4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338
129,Money Market,8725 Roswell Rd Ste 5,Atlanta,GA,30350
130,Money Market Of Atlanta,209 Edgewood Avenue Southeast,Atlanta,GA,30303
131,Money World,55 Moreland Ave Se,Atlanta,GA,30316
132,Money World No 3 Inc,1195 Wylie St Se,Atlanta,GA,30316
133,Moss Pawn,6382 Old Dixie Highway,Atlanta,GA,30303
134,Mr Payroll,689 Boulevard Ne,Atlanta,GA,30308
135,Myong H Lee Inc,3253 Buford Hwy Ne,Atlanta,GA,30329
136,N Go Cash Inc,5441 Riverdale Rd,Atlanta,GA,30349
137,N R M C Financial Services,1955 Campbellton Rd Sw,Atlanta,GA,30311
138,Nice Check Cashing,1153 Rlph Dvd Abrnthy,Atlanta,GA,30310
139,Nice Check Cashing Inc,4891 Roosevelt Hwy,Atlanta,GA,30349
140,Nice Check Cashing Inc,4891 Roosevelt Highway,Atlanta,GA,30349
141,Nice Check Cashing Inc,5195 Old National Highway,Atlanta,GA,30349
142,Nice Check Cashing Inc,2636 Mrtn Lthr Kng Jr Drive Suite 26,Atlanta,GA,30311
143,Nice Check Cashing Inc,2636 Mrtn Lthr Kng Jr Drive Suite 26,Atlanta,GA,30311
144,Nice Check Cashing Inc,2636 Mlk J,Atlanta,GA,30311
145,Nice Check Cashing Inc,31-B Forsyth St Nw,Atlanta,GA,30303
146,Nice Financial Services,31 Forsyth St Sw,Atlanta,GA,30303
147,Nice Financial Services,1153 Ralph David Abernathy Blv,Atlanta,GA,30310
148,Nice Financial Services,4395 Fulton Industrial Blvd Sw,Atlanta,GA,30336
149,North River Check Cashing,8805 Roswell Rd,Atlanta,GA,30350
150,Now Check Cashing Inc,1352 Lakewood Ave Se,Atlanta,GA,30315
151,P And C Check Cashers,Taco Super Market,Atlanta,GA,30303
152,Paras Check Cashing,5674 Roswell Road Northeast,Atlanta,GA,30342
153,Recheck Corporation,4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338
154,Salandy Associates,2895 Laurel Lane,Atlanta,GA,30344
155,Secondi Inc,1954 Airport Rd Ste 209,Atlanta,GA,30341
156,Security Check,2255 Cumberland Parkway Southeast,Atlanta,GA,30339
157,Super Check Cash,3330 Buford Hwy Ne,Atlanta,GA,30329
158,Taco Market,3304 Buford Highway Northeast,Atlanta,GA,30329
159,Taurino Store Inc,2726 Shallowford Rd Ne,Atlanta,GA,30341
160,Telecheck,5775 Peachtre Dnwdy Road Northeast,Atlanta,GA,30342
161,Termnet Merchant Services Inc,2030 Powers Ferry Road Southeast Suite 134,Atlanta,GA,30339
162,Tower Beer Wine Spirits,2161 Piedmont Road Northeast,Atlanta,GA,30324
163,Tower Package Store,2161 Piedmont Rd Ne,Atlanta,GA,30324
164,Tower Package Stores,5877 Buford Highway Northeast,Atlanta,GA,30340
165,Trimax Financial,2740 Greenbriar Pkwy Sw Ste B1,Atlanta,GA,30331
166,Twenty Four Hour Check Cashing,2636 Martin Luther Dr,Atlanta,GA,30311
167,Two Guys Package,5420 Pechtre Indstrl Boulevard,Atlanta,GA,30341
168,Universal Check Cashiers,211 Peachtree St Sw,Atlanta,GA,30303
169,Universal Express Inc,3666 Shallowford Rd Ne,Atlanta,GA,30340
170,Xtrabucks,2685 Metropolitan Pkwy Sw,Atlanta,GA,30315
171,Xtrabucks,5855 Buford Hwy Ne,Atlanta,GA,30340
172,Y & T Check Cashing,1391 Moreland Ave Se,Atlanta,GA,30316
173,Your Check Cashing Store,2555 Bolton Road Northwest Suite 7,Atlanta,GA,30318
174,Your Check Cashing Store Inc,2555 Bolton Rd Nw Ste 7,Atlanta,GA,30318
